"","month","dow","hour","num_trips","trip_dur","age"
"146",1,7,1,71,27.82,31.28
"147",1,7,2,58,20.71,33.67
"148",1,7,3,14,29.59,42
"149",1,7,4,9,10.74,36.67
"150",1,7,5,21,20.75,36.33
"151",1,7,6,38,14.2,32.45
"152",1,7,7,82,14.5,33.76
"153",1,7,8,168,11.45,34.61
"154",1,7,9,320,17.04,34.91
"155",1,7,10,354,11.78,33.5
"156",1,7,11,449,24.35,34.66
"157",1,7,12,499,14.35,34.12
"158",1,7,13,457,16.83,35.13
"159",1,7,14,479,14.53,34.35
"160",1,7,15,435,14.56,33.68
"161",1,7,16,372,12.79,34.74
"162",1,7,17,265,12.85,32.68
"163",1,7,18,225,19.45,31.49
"164",1,7,19,182,18.31,30.92
"165",1,7,20,170,12.59,31.29
"166",1,7,21,143,10.91,31.43
"167",1,7,22,113,18.21,31.69
"168",1,7,23,109,11.86,32.79
"169",2,1,0,129,91.28,30.57
"170",2,1,1,128,23.6,32.53
"171",2,1,2,72,402.75,33.76
"172",2,1,3,24,53.42,35.5
"173",2,1,4,15,16.27,32.67
"174",2,1,5,17,24.57,42
"175",2,1,6,33,14.74,34.15
"176",2,1,7,71,11.17,35.01
"177",2,1,8,137,10.59,32.96
"178",2,1,9,289,12.06,32.34
"179",2,1,10,396,13.95,33.02
"180",2,1,11,496,21.2,33.81
"181",2,1,12,551,18,32.75
"182",2,1,13,651,22.7,35.02
"183",2,1,14,580,34.99,33.51
"184",2,1,15,613,56.03,34.2
"185",2,1,16,676,37.96,34.05
"186",2,1,17,635,25.17,32.05
"187",2,1,18,464,14.69,30.94
"188",2,1,19,329,11.73,30.16
"189",2,1,20,250,11.1,29.58
"190",2,1,21,179,10.2,32.31
"191",2,1,22,303,27.25,33.77
"192",2,1,23,209,40.77,32.92
"193",2,2,0,65,15.02,32.71
"194",2,2,1,33,13.25,36.76
"195",2,2,2,19,13.63,40.68
"196",2,2,3,7,405.53,43.57
"197",2,2,4,12,12.11,34.67
"198",2,2,5,70,13.09,34.59
"199",2,2,6,265,10.56,38.91
"200",2,2,7,788,12.07,37.28
"201",2,2,8,1500,13.34,35.93
"202",2,2,9,890,13.16,35.42
"203",2,2,10,476,12.25,32.89
"204",2,2,11,431,15.33,35.61
"205",2,2,12,475,34.46,35.49
"206",2,2,13,494,15.73,35.31
"207",2,2,14,470,21.08,34.47
"208",2,2,15,594,19.93,36.47
"209",2,2,16,1181,16.15,37.25
"210",2,2,17,1690,19.47,36.1
"211",2,2,18,1104,12.51,32.92
"212",2,2,19,751,11.63,31.93
"213",2,2,20,488,13.74,31.89
"214",2,2,21,336,18.62,30.95
"215",2,2,22,201,10.55,31.33
"216",2,2,23,97,61.2,31.33
"217",2,3,0,61,78.36,35.05
"218",2,3,1,25,11.66,35.24
"219",2,3,2,16,27.57,42.06
"220",2,3,3,5,10.44,43.6
"221",2,3,4,11,9.76,30.18
"222",2,3,5,98,12.62,35.2
"223",2,3,6,328,24.27,38.74
"224",2,3,7,1011,18.21,37.32
"225",2,3,8,1939,16.35,35.51
"226",2,3,9,1057,45.39,34.1
"227",2,3,10,547,35.43,34.5
"228",2,3,11,603,64.25,35.49
"229",2,3,12,748,39.38,36.58
"230",2,3,13,667,28.08,37.99
"231",2,3,14,602,20.04,37.3
"232",2,3,15,673,46,37.64
"233",2,3,16,982,32.98,37.65
"234",2,3,17,1707,29.94,36.7
"235",2,3,18,1056,12.82,33.92
"236",2,3,19,700,13.04,32.75
"237",2,3,20,478,14.15,32.27
"238",2,3,21,309,11.15,31.84
"239",2,3,22,198,10.41,31.69
"240",2,3,23,105,10.71,32.13
"241",2,4,0,63,35.03,33.81
"242",2,4,1,23,12.91,33.35
"243",2,4,2,12,14.68,40.42
"244",2,4,3,6,9.76,39.33
"245",2,4,4,8,13.03,33.62
"246",2,4,5,74,40.98,33.24
"247",2,4,6,284,16.16,37.74
"248",2,4,7,879,11.98,36.23
"249",2,4,8,1580,15.39,35.89
"250",2,4,9,886,25.09,34.89
"251",2,4,10,458,11.84,34.68
"252",2,4,11,468,14.55,35.04
"253",2,4,12,544,11.67,34.95
"254",2,4,13,486,11.49,35.8
"255",2,4,14,498,44.12,35.36
"256",2,4,15,578,16.92,38.25
"257",2,4,16,1183,40.92,37.81
"258",2,4,17,1836,11.63,36.24
"259",2,4,18,1188,13.04,33.89
"260",2,4,19,783,14.41,31.98
"261",2,4,20,507,11.83,32.62
"262",2,4,21,295,10.98,31.87
"263",2,4,22,133,10.28,33.12
"264",2,4,23,75,11.02,31.96
"265",2,5,0,48,7.58,30.42
"266",2,5,1,16,12.53,31.5
"267",2,5,2,8,16.87,44.25
"268",2,5,3,7,12.44,33.14
"269",2,5,4,12,9.51,36
"270",2,5,5,56,10.86,34.38
"271",2,5,6,199,10.36,36.44
"272",2,5,7,532,11.64,36.21
"273",2,5,8,1234,12.89,35.29
"274",2,5,9,813,19.95,33.98
"275",2,5,10,462,12.77,34.15
"276",2,5,11,502,10.97,35.13
"277",2,5,12,537,12.65,34.35
"278",2,5,13,528,13.51,36.73
"279",2,5,14,512,12.55,35.83
"280",2,5,15,634,12.62,38.97
"281",2,5,16,1228,15.5,37.64
"282",2,5,17,1829,12.91,36.39
"283",2,5,18,1245,13,34.06
"284",2,5,19,840,24.29,32.41
"285",2,5,20,534,10.97,32.61
"286",2,5,21,395,12.95,31.18
"287",2,5,22,281,11.34,31.84
"288",2,5,23,168,48.92,32.35
"289",2,6,0,64,22.07,30.95
"290",2,6,1,34,10.34,31.15
"291",2,6,2,23,15.74,41.7
"292",2,6,3,8,240.12,32.62
"293",2,6,4,17,12.36,37.94
"294",2,6,5,67,10.39,33.49
"295",2,6,6,304,10.61,37.7
"296",2,6,7,817,11.9,37.18
"297",2,6,8,1522,13.05,35.33
"298",2,6,9,842,11.19,34.66
"299",2,6,10,417,11.16,34.99
"300",2,6,11,484,14.2,35.13
"301",2,6,12,563,11.58,35.02
"302",2,6,13,595,12.93,35.82
"303",2,6,14,606,18.58,36.66
"304",2,6,15,805,20.98,37.15
"305",2,6,16,1439,18.71,37.29
"306",2,6,17,1753,18.53,35.63
"307",2,6,18,1117,22.19,33.64
"308",2,6,19,655,42.87,31.83
"309",2,6,20,418,19.54,31.92
"310",2,6,21,302,15.53,31.98
"311",2,6,22,208,17.06,33.05
"312",2,6,23,162,14.58,33.66
"313",2,7,0,125,20.46,33.06
"314",2,7,1,81,211.88,31.32
"315",2,7,2,49,10.94,31.61
"316",2,7,3,19,11.22,39
"317",2,7,4,13,47.54,38.46
"318",2,7,5,22,11.52,33.09
"319",2,7,6,37,11.75,35.78
"320",2,7,7,118,11.66,33.92
"321",2,7,8,240,12.43,33.67
"322",2,7,9,372,11.18,34.29
"323",2,7,10,525,15.9,33.46
"324",2,7,11,600,16.8,34.05
"325",2,7,12,668,16.74,33.43
"326",2,7,13,729,18.81,34.39
"327",2,7,14,770,21.28,35.35
"328",2,7,15,731,65.38,34.7
"329",2,7,16,685,26.44,34.85
"330",2,7,17,631,61.5,33.9
"331",2,7,18,503,12.81,32.19
"332",2,7,19,405,19.23,31.1
"333",2,7,20,259,24.05,31
"334",2,7,21,238,28.4,32.45
"335",2,7,22,219,12.19,32.33
"336",2,7,23,128,18.28,32.73
"337",3,1,0,205,18.22,33.31
"338",3,1,1,192,43.6,35.68
"339",3,1,2,134,43.77,36.33
"340",3,1,3,35,12.87,38.63
"341",3,1,4,14,337.6,39.79
"342",3,1,5,19,13.88,50.21
"343",3,1,6,54,13.62,36.09
"344",3,1,7,99,15.57,36.82
"345",3,1,8,300,25.34,34.15
"346",3,1,9,506,19.46,34.17
"347",3,1,10,705,26.1,35.28
"348",3,1,11,960,23.69,34.97
"349",3,1,12,1034,34.25,36.15
"350",3,1,13,1069,29.81,34.95
"351",3,1,14,1049,74.93,36.69
"352",3,1,15,877,35.97,35.05
"353",3,1,16,887,33.91,35.57
"354",3,1,17,780,98.24,34.96
"355",3,1,18,739,19.97,33.98
"356",3,1,19,483,67.37,31.91
"357",3,1,20,367,12.37,31.91
"358",3,1,21,289,71.25,31.99
"359",3,1,22,198,10.63,33.82
"360",3,1,23,121,9.42,30.73
"361",3,2,0,64,10.92,32.72
"362",3,2,1,37,239.65,30.51
"363",3,2,2,14,16.69,41.21
"364",3,2,3,5,10.67,34.8
"365",3,2,4,17,1009.33,38.18
"366",3,2,5,63,11.89,34.9
"367",3,2,6,241,13.96,39.17
"368",3,2,7,703,12.11,38
"369",3,2,8,1473,14.22,35.48
"370",3,2,9,900,14.09,35.22
"371",3,2,10,467,14.13,34.22
"372",3,2,11,436,15.51,36.12
"373",3,2,12,555,17.68,36.3
"374",3,2,13,504,50.53,37.48
"375",3,2,14,516,49.88,37.57
"376",3,2,15,618,17.89,37.7
"377",3,2,16,1216,21.26,38.46
"378",3,2,17,1920,17.19,36.72
"379",3,2,18,1426,13.95,33.58
"380",3,2,19,899,11.81,32.81
"381",3,2,20,560,10.36,31.86
"382",3,2,21,395,11.02,32.66
"383",3,2,22,201,28.89,32.82
"384",3,2,23,116,12.08,33.48
"385",3,3,0,49,16.31,33.49
"386",3,3,1,41,13.47,33.88
"387",3,3,2,11,16.06,48.27
"388",3,3,3,9,18.14,46.56
"389",3,3,4,12,28.42,45.17
"390",3,3,5,102,10.82,33.32
"391",3,3,6,327,10.75,38.37
"392",3,3,7,962,13.01,37.57
"393",3,3,8,1977,12.58,35.68
"394",3,3,9,1095,13.84,34.32
"395",3,3,10,501,11.15,34.44
"396",3,3,11,515,12.92,34.56
"397",3,3,12,578,11.79,36.21
"398",3,3,13,498,25.08,36.3
"399",3,3,14,511,13.16,36.63
"400",3,3,15,708,14.16,38.09
"401",3,3,16,1292,16.96,38.61
"402",3,3,17,2143,16.24,36.57
"403",3,3,18,1472,14.02,34.09
"404",3,3,19,936,18.43,32.75
"405",3,3,20,576,12.14,33.36
"406",3,3,21,410,11.4,32.66
"407",3,3,22,276,50.85,32.15
"408",3,3,23,112,323.47,32.28
"409",3,4,0,61,14.87,32.9
"410",3,4,1,40,14.06,33.9
"411",3,4,2,16,16.82,35.94
"412",3,4,3,7,25.27,35.43
"413",3,4,4,13,9.53,37.85
"414",3,4,5,95,11.1,33.86
"415",3,4,6,329,10.71,37.94
"416",3,4,7,976,12.66,37.76
"417",3,4,8,2006,12.08,35.92
"418",3,4,9,1138,13.16,34.71
"419",3,4,10,576,12.44,35.44
"420",3,4,11,566,12.79,35.77
"421",3,4,12,593,73.79,36.19
"422",3,4,13,595,17.06,36.44
"423",3,4,14,546,17.21,35.8
"424",3,4,15,696,38.65,38.14
"425",3,4,16,1343,18.6,38.97
"426",3,4,17,2231,14.24,36.58
"427",3,4,18,1410,36.22,33.72
"428",3,4,19,843,18.97,32.13
"429",3,4,20,603,35.23,32.32
"430",3,4,21,390,15.2,33.55
"431",3,4,22,251,10.96,33.6
"432",3,4,23,152,13.7,33.41
"433",3,5,0,75,37.99,31.39
"434",3,5,1,35,10.35,31.89
"435",3,5,2,20,17.37,38.7
"436",3,5,3,6,9.04,37.5
"437",3,5,4,9,9.83,39.89
"438",3,5,5,105,9.62,34.86
"439",3,5,6,308,41.67,38.46
"440",3,5,7,1052,12.74,37.44
"441",3,5,8,2144,13.52,35.89
"442",3,5,9,1136,12.01,34.8
"443",3,5,10,628,15.54,35.38
"444",3,5,11,654,16.66,36.38
"445",3,5,12,658,15.15,36.3
"446",3,5,13,606,21.24,36.94
"447",3,5,14,621,15.5,37.19
"448",3,5,15,755,61.55,38.5
"449",3,5,16,1491,16.97,38.75
"450",3,5,17,2242,17.46,37.18
"451",3,5,18,1546,17.1,34.62
"452",3,5,19,942,15.46,33.04
"453",3,5,20,628,14.38,32.59
"454",3,5,21,434,18.82,32.37
"455",3,5,22,310,12.49,32.66
"456",3,5,23,174,20.72,30.41
"457",3,6,0,108,123.53,32.93
"458",3,6,1,43,12.51,31.67
"459",3,6,2,24,11.7,36.5
"460",3,6,3,13,12.07,42.69
"461",3,6,4,20,13.33,40.45
"462",3,6,5,81,11.73,33.73
"463",3,6,6,310,12.38,37.68
"464",3,6,7,990,13.69,37.41
"465",3,6,8,1997,14.36,35.35
"466",3,6,9,1160,13.58,34.57
"467",3,6,10,660,17.05,35.27
"468",3,6,11,652,14.85,35.82
"469",3,6,12,718,24.16,35.79
"470",3,6,13,771,19.69,36.39
"471",3,6,14,710,28.86,37.46
"472",3,6,15,870,41.98,37.77
"473",3,6,16,1642,30.3,37.72
"474",3,6,17,2190,23.77,35.45
"475",3,6,18,1430,17.62,33.86
"476",3,6,19,860,21.24,32.75
"477",3,6,20,589,59.37,32.49
"478",3,6,21,466,23.42,33.56
"479",3,6,22,334,107.9,32.48
"480",3,6,23,235,28.75,32.55
"481",3,7,0,163,22,32.9
"482",3,7,1,130,130.32,35.37
"483",3,7,2,87,30.54,34.45
"484",3,7,3,28,18.58,37.54
"485",3,7,4,20,13.77,42.65
"486",3,7,5,31,10.74,36.06
"487",3,7,6,72,13.46,36.21
"488",3,7,7,149,11.75,33.5
"489",3,7,8,311,13.39,34.78
"490",3,7,9,527,35.75,34.17
"491",3,7,10,767,17.58,35.53
"492",3,7,11,891,27.43,35.35
"493",3,7,12,1139,26.83,34.91
"494",3,7,13,1252,41.8,35.36
"495",3,7,14,1243,58.22,35.88
"496",3,7,15,1345,39.04,36.86
"497",3,7,16,1417,43.57,37.25
"498",3,7,17,1264,28.41,35.57
"499",3,7,18,969,37.98,34.31
"500",3,7,19,701,96.11,33.22
"501",3,7,20,457,15.54,32.24
"502",3,7,21,385,26.14,32.35
"503",3,7,22,301,45.55,33.16
"504",3,7,23,217,61.09,33.07
"505",4,1,0,341,91.48,34.4
"506",4,1,1,302,32.8,33.8
"507",4,1,2,181,46.16,35.18
"508",4,1,3,57,25.28,36.44
"509",4,1,4,43,46.31,35.88
"510",4,1,5,39,29.88,41.46
"511",4,1,6,76,47.84,36.46
"512",4,1,7,215,22.14,36.73
"513",4,1,8,507,18.68,36.06
"514",4,1,9,956,21.41,35.74
"515",4,1,10,1371,25.43,36.35
"516",4,1,11,1618,26.77,36.68
"517",4,1,12,1844,30.28,36.27
"518",4,1,13,1995,28.39,36.57
"519",4,1,14,1783,27.48,36.65
"520",4,1,15,2159,36.25,36.82
"521",4,1,16,2115,30.13,36.23
"522",4,1,17,1757,27.6,35.74
"523",4,1,18,1487,28.11,34.21
"524",4,1,19,899,21.24,33.41
"525",4,1,20,743,16.99,31.81
"526",4,1,21,454,52.36,32.69
"527",4,1,22,421,13.28,32.65
"528",4,1,23,253,75.81,30.26
"529",4,2,0,141,53.71,32.44
"530",4,2,1,98,129.77,33.52
"531",4,2,2,47,32.49,36.06
"532",4,2,3,22,569.09,31.82
"533",4,2,4,43,12.36,32.44
"534",4,2,5,139,12.25,33.23
"535",4,2,6,497,14.89,37.54
"536",4,2,7,1257,26.63,36.95
"537",4,2,8,2509,16.51,35.54
"538",4,2,9,1564,20.5,35.14
"539",4,2,10,997,22.15,34.17
"540",4,2,11,1043,39.18,34.92
"541",4,2,12,1193,29.28,35.87
"542",4,2,13,1071,21.75,36.05
"543",4,2,14,1054,24.09,36.43
"544",4,2,15,922,24.17,37.02
"545",4,2,16,1823,16.49,37.69
"546",4,2,17,2996,15.72,36.05
"547",4,2,18,2066,18.33,33.7
"548",4,2,19,1440,24.32,33.44
"549",4,2,20,907,16.69,32.71
"550",4,2,21,588,13.85,33.95
"551",4,2,22,393,14.94,34.04
"552",4,2,23,202,112.41,32.36
"553",4,3,0,84,10.49,33.12
"554",4,3,1,58,142.83,35.66
"555",4,3,2,32,16.54,36.09
"556",4,3,3,21,11.88,34.95
"557",4,3,4,19,37.12,34.63
"558",4,3,5,157,9.96,34.45
"559",4,3,6,509,11.13,36.74
"560",4,3,7,1606,12.78,36.91
"561",4,3,8,3109,13,35.03
"562",4,3,9,1685,14.31,34.22
"563",4,3,10,1015,16.36,35.24
"564",4,3,11,1004,16.1,35.94
"565",4,3,12,1191,44.17,35.47
"566",4,3,13,1164,31.5,36.83
"567",4,3,14,1166,21.84,36.06
"568",4,3,15,1431,73.1,37.07
"569",4,3,16,2622,16.88,37.59
"570",4,3,17,4223,14.98,36.39
"571",4,3,18,2832,16.68,34.13
"572",4,3,19,1702,23.02,32.5
"573",4,3,20,1119,13.15,31.34
"574",4,3,21,841,15.31,31.59
"575",4,3,22,565,15.77,33.43
"576",4,3,23,245,15.36,32.16
"577",4,4,0,44,165.8,31.07
"578",4,4,1,43,12.29,33.86
"579",4,4,2,25,50.4,41.32
"580",4,4,3,10,72.96,45.2
"581",4,4,4,13,16.84,37.31
"582",4,4,5,128,10.68,33.18
"583",4,4,6,448,11.98,37.08
"584",4,4,7,1328,12.4,36.76
"585",4,4,8,2700,13.35,35.39
"586",4,4,9,1565,13.22,34.96
"587",4,4,10,861,17.54,34.42
"588",4,4,11,969,17,36.12
"589",4,4,12,1039,30.47,35.87
"590",4,4,13,1091,18.11,36.81
"591",4,4,14,1092,26.2,36.7
"592",4,4,15,1308,21.33,37.12
"593",4,4,16,2299,17.83,37.94
"594",4,4,17,3708,17.34,36.04
"595",4,4,18,2603,30.87,34.18
"596",4,4,19,1644,18.35,32.75
"597",4,4,20,959,30.44,31.89
"598",4,4,21,689,23.93,31.9
"599",4,4,22,440,15.84,33.12
"600",4,4,23,242,76.55,31.64
"601",4,5,0,115,15.54,33.05
"602",4,5,1,64,20.07,35.02
"603",4,5,2,42,33.49,39
"604",4,5,3,16,8.83,28.06
"605",4,5,4,20,2174.56,31.7
"606",4,5,5,143,11.78,34.15
"607",4,5,6,537,12.9,38.14
"608",4,5,7,1596,12.45,37.23
"609",4,5,8,2898,14.62,35.32
"610",4,5,9,1605,16.35,34.9
"611",4,5,10,904,21.66,34.6
"612",4,5,11,936,23.03,35.89
"613",4,5,12,1066,16.29,36.27
"614",4,5,13,1084,27.12,36.76
"615",4,5,14,1115,30.73,36.38
"616",4,5,15,1304,24.68,37.02
"617",4,5,16,2252,21.78,37.63
"618",4,5,17,3228,22.76,36.16
"619",4,5,18,2284,29.48,34.22
"620",4,5,19,1518,16.87,32.79
"621",4,5,20,983,16.43,32.95
"622",4,5,21,769,25.44,32.52
"623",4,5,22,585,19.6,33.2
"624",4,5,23,317,37.35,31.97
"625",4,6,0,179,14.37,31.42
"626",4,6,1,98,10.72,31
"627",4,6,2,61,16.62,36.82
"628",4,6,3,58,19.55,38.05
"629",4,6,4,25,18.43,41.32
"630",4,6,5,104,11.74,34.39
"631",4,6,6,425,11.54,36.62
"632",4,6,7,1188,12.81,36.66
"633",4,6,8,2254,19.87,35.09
"634",4,6,9,1354,13.07,34.35
"635",4,6,10,846,22.83,34.77
"636",4,6,11,996,15.21,35.63
"637",4,6,12,1138,20.99,36.41
"638",4,6,13,1188,23.69,35.21
"639",4,6,14,1239,47.93,35.72
"640",4,6,15,1431,19.56,37.23
"641",4,6,16,1968,20.81,37.02
"642",4,6,17,2415,21.51,35.31
"643",4,6,18,1710,15.03,34.12
"644",4,6,19,1152,18.86,32.69
"645",4,6,20,559,16.8,32.64
"646",4,6,21,415,45.62,31.99
"647",4,6,22,385,21.64,33.88
"648",4,6,23,238,16.44,32.28
"649",4,7,0,123,106.16,33.11
"650",4,7,1,109,126.86,32.26
"651",4,7,2,53,17.62,33
"652",4,7,3,35,20.83,36.29
"653",4,7,4,12,13.76,30.25
"654",4,7,5,29,17.19,35.9
"655",4,7,6,76,15.96,33.87
"656",4,7,7,182,16.76,32.51
"657",4,7,8,419,23.14,34.4
"658",4,7,9,669,14.94,34.17
"659",4,7,10,908,18.48,33.63
"660",4,7,11,1313,28.31,34.69
"661",4,7,12,1703,40.28,35.69
"662",4,7,13,2117,27.67,35.54
"663",4,7,14,2144,36.29,36.24
"664",4,7,15,2237,42.08,36.29
"665",4,7,16,2260,40.35,37.23
"666",4,7,17,2086,44.6,36.44
"667",4,7,18,1678,34.72,35.14
"668",4,7,19,1183,25.77,34.14
"669",4,7,20,762,18.03,33.7
"670",4,7,21,619,23.63,34.45
"671",4,7,22,536,49.89,34.69
"672",4,7,23,358,25.78,32.01
"673",5,1,0,340,15.04,32.26
"674",5,1,1,286,24.93,33.95
"675",5,1,2,192,67.41,35.49
"676",5,1,3,49,116.66,40.02
"677",5,1,4,42,17.33,36.5
"678",5,1,5,68,94.4,40.96
"679",5,1,6,149,27.07,36.38
"680",5,1,7,228,34.26,37
"681",5,1,8,464,19.25,34.97
"682",5,1,9,743,29.89,36.13
"683",5,1,10,1129,24.43,35.84
"684",5,1,11,1121,27.31,35.75
"685",5,1,12,1188,37.22,35.4
"686",5,1,13,1453,39.92,35.32
"687",5,1,14,1537,31.36,36.31
"688",5,1,15,1691,36.54,36.54
"689",5,1,16,1781,30.59,37.01
"690",5,1,17,1921,26.17,35.83
"691",5,1,18,1622,25.35,35.02
"692",5,1,19,1327,36.39,34.18
"693",5,1,20,912,20.82,32.99
"694",5,1,21,595,20.26,34.89
"695",5,1,22,560,18.6,33.33
"696",5,1,23,428,63.26,33.32
"697",5,2,0,219,107.39,34.9
"698",5,2,1,110,170.08,34.55
"699",5,2,2,82,15.98,37.74
"700",5,2,3,33,505.89,37.03
"701",5,2,4,39,154.1,36.21
"702",5,2,5,119,14.37,33.45
"703",5,2,6,566,12.11,38.7
"704",5,2,7,1501,24.39,37.37
"705",5,2,8,2842,14.6,35.59
"706",5,2,9,1584,17.63,35.74
"707",5,2,10,1277,23.94,36.95
"708",5,2,11,1486,25.43,36.92
"709",5,2,12,1668,24.12,37.2
"710",5,2,13,1665,58.09,36.45
"711",5,2,14,1803,25.28,37.2
"712",5,2,15,2042,25.96,38.07
"713",5,2,16,2728,27.55,37.36
"714",5,2,17,3576,23.8,35.78
"715",5,2,18,2175,18.78,34.05
"716",5,2,19,1777,18.82,33.3
"717",5,2,20,1039,20.89,33.05
"718",5,2,21,711,23.61,33.24
"719",5,2,22,443,17.69,33.5
"720",5,2,23,321,66.48,33.45
"721",5,3,0,145,12.56,31.59
"722",5,3,1,90,22.69,38.09
"723",5,3,2,42,19.23,39.12
"724",5,3,3,24,306.9,38.08
"725",5,3,4,48,14.57,35.9
"726",5,3,5,203,14.79,34.98
"727",5,3,6,772,17.09,38.33
