month,dow,hour,num_trips,trip_dur,age
2,1,5,22,16.17,41.77
2,1,6,30,10.74,34.83
2,1,7,60,15.42,35.25
2,1,8,125,11.09,33.28
2,1,9,257,12.54,32.23
2,1,10,364,34.43,32.41
2,1,11,469,13.09,33.66
2,1,12,515,33.82,32.76
2,1,13,635,25.24,34.65
2,1,14,610,91.36,33.36
2,1,15,573,31.2,34.68
2,1,16,664,44.22,33.85
2,1,17,666,30.49,32.83
2,1,18,542,15.52,31.15
2,1,19,369,16.45,30.73
2,1,20,257,34.77,30.02
2,1,21,197,13.23,31.45
2,1,22,258,12.82,32.98
2,1,23,242,103.49,33.25
2,2,0,89,42.03,33.73
2,2,1,32,110.25,36.91
2,2,2,22,16.96,36.14
2,2,3,7,9.49,46.86
2,2,4,7,15.03,39
2,2,5,57,27.4,33.49
2,2,6,240,11.23,38.79
2,2,7,628,11.04,37.81
2,2,8,1453,16.06,35.79
2,2,9,1020,14.15,35.97
2,2,10,510,25.51,33.09
2,2,11,434,16.72,35.12
2,2,12,466,21.61,35.39
2,2,13,499,32.07,35.18
2,2,14,464,13.49,34.48
2,2,15,538,72.84,36.1
2,2,16,1027,20.67,36.96
2,2,17,1727,26.94,36.8
2,2,18,1209,15.21,33.32
2,2,19,828,15.41,32.18
2,2,20,519,15.5,31.76
2,2,21,351,10.85,31.17
2,2,22,216,13.01,30.71
2,2,23,122,14.66,32.48
2,3,0,60,12.8,33.4
2,3,1,28,14.39,35.79
2,3,2,17,12.7,40.24
2,3,3,9,77.67,46.89
2,3,4,8,8.43,32.88
2,3,5,82,53.45,35.15
2,3,6,276,13.64,38.49
2,3,7,812,12.77,37.54
2,3,8,1881,22.24,35.82
2,3,9,1238,32.29,34.54
2,3,10,557,54.81,33.23
2,3,11,562,32.74,35.17
2,3,12,686,15.41,36.3
2,3,13,741,20.85,37.73
2,3,14,593,15.76,36.85
2,3,15,637,22.55,37.73
2,3,16,917,18.84,37.75
2,3,17,1649,18.43,37.29
2,3,18,1194,17.07,34.53
2,3,19,782,12.31,32.78
2,3,20,522,14.24,32.65
2,3,21,334,12.17,31.77
2,3,22,213,16.35,31.58
2,3,23,114,10.64,32.06
2,4,0,67,13.79,34.07
2,4,1,33,157.18,34.45
2,4,2,15,131.56,37.93
2,4,3,9,231.68,41.44
2,4,4,6,612.34,38.5
2,4,5,55,7.87,32.56
2,4,6,230,15.27,36.88
2,4,7,719,12.08,37.12
2,4,8,1536,11.88,35.75
2,4,9,1049,38.52,35.21
2,4,10,502,57.12,34.59
2,4,11,446,11.52,35.03
2,4,12,548,14.66,34.7
2,4,13,499,26.84,35.46
2,4,14,474,12.26,35.6
2,4,15,557,14.79,37.79
2,4,16,1047,23.34,37.88
2,4,17,1787,15.06,36.76
2,4,18,1327,31.91,34.36
2,4,19,863,11.25,31.87
2,4,20,518,10.18,32.76
2,4,21,340,13.37,31.94
2,4,22,147,70.09,32.93
2,4,23,87,12.19,32.25
2,5,0,57,22.75,31.44
2,5,1,18,9.98,28.11
2,5,2,9,19.08,43.44
2,5,3,7,10.14,33.14
2,5,4,8,11.47,37
2,5,5,52,9.7,35.19
2,5,6,169,10.06,35.79
2,5,7,438,25.69,36.7
2,5,8,1123,17.84,35.28
2,5,9,953,11.43,34.25
2,5,10,479,14.25,34.5
2,5,11,490,51.52,34.57
2,5,12,522,11.51,34.73
2,5,13,544,29.4,36.58
2,5,14,532,12.28,35.69
2,5,15,558,16.77,38.03
2,5,16,1130,28.71,38.01
2,5,17,1765,13.88,36.85
2,5,18,1355,14.54,34.43
2,5,19,912,42.6,32.53
2,5,20,572,13.14,32.33
2,5,21,433,22.52,31.7
2,5,22,302,16.56,31.76
2,5,23,191,11.65,31.6
2,6,0,68,10.99,33.18
2,6,1,41,10.74,31.34
2,6,2,24,20.05,38.5
2,6,3,7,10.23,39.71
2,6,4,16,11.72,37.25
2,6,5,62,76.17,33.69
2,6,6,236,14.25,37.72
2,6,7,676,14.94,37.39
2,6,8,1473,16.6,35.56
2,6,9,1006,27.18,34.86
2,6,10,450,10.79,34.72
2,6,11,451,40.79,35.22
2,6,12,567,34.77,34.7
2,6,13,577,16.53,35.6
2,6,14,588,14,36.22
2,6,15,745,17.27,36.93
2,6,16,1299,14.49,37.44
2,6,17,1774,13.92,35.93
2,6,18,1253,13.38,34.24
2,6,19,731,13.91,32.22
2,6,20,451,12.77,32.29
2,6,21,327,23.09,31.44
2,6,22,213,13.19,32.62
2,6,23,164,11.17,32.74
2,7,0,137,23.45,35.3
2,7,1,79,12.23,30.61
2,7,2,67,17.72,32.54
2,7,3,19,10.25,36.74
2,7,4,15,9.12,35.6
2,7,5,18,12.74,34.5
2,7,6,32,12.51,36.38
2,7,7,97,13.31,34.26
2,7,8,221,22.89,33.61
2,7,9,362,18.05,34.02
2,7,10,461,27.31,33.64
2,7,11,573,16.6,33.66
2,7,12,609,15.67,33.44
2,7,13,734,27.37,34.15
2,7,14,741,22.75,34.16
2,7,15,769,27.39,36.01
2,7,16,710,17.25,34.71
2,7,17,672,19.35,34.4
2,7,18,533,14.98,32.59
2,7,19,429,13.25,30.94
2,7,20,295,18.37,30.99
2,7,21,230,79.53,32.23
2,7,22,232,14.52,33.23
2,7,23,143,12.41,32.45
3,1,0,221,23,33.25
3,1,1,163,18.52,35.77
3,1,2,175,31.58,36.05
3,1,3,57,44.5,40.09
3,1,4,17,12.26,39.24
3,1,5,18,14.2,48.67
3,1,6,42,260.78,36.57
3,1,7,92,252.08,36.22
3,1,8,229,23.83,33.84
3,1,9,433,17.18,33.66
3,1,10,614,59.74,34.73
3,1,11,886,27.49,34.8
3,1,12,977,30.85,35.58
3,1,13,1061,30.32,35.55
3,1,14,1041,42.77,35.77
3,1,15,932,26.52,35.81
3,1,16,921,33.44,35.48
3,1,17,829,31.17,35.34
3,1,18,804,21.55,34.17
3,1,19,581,21.07,33.51
3,1,20,398,21.2,32.26
3,1,21,291,14.57,31.19
3,1,22,221,16.68,33.21
3,1,23,142,31.35,33.1
3,2,0,69,19.32,33.33
3,2,1,38,12.83,28.63
3,2,2,17,14.37,36.18
3,2,3,10,15.08,39.6
3,2,4,10,9.86,38.7
3,2,5,51,10.51,34.25
3,2,6,206,18.66,38.51
3,2,7,557,22.38,38.48
3,2,8,1417,18.56,35.85
3,2,9,1040,18.29,35.37
3,2,10,510,25.51,34.02
3,2,11,432,61.88,36.09
3,2,12,539,14.12,36.06
3,2,13,487,25.93,36.9
3,2,14,525,23.9,37.69
3,2,15,554,20.46,37.37
3,2,16,1093,19.43,38.67
3,2,17,1907,14.64,37.05
3,2,18,1517,13.97,34.45
3,2,19,976,19.94,32.39
3,2,20,623,12.89,32.42
3,2,21,430,21.49,32.66
3,2,22,226,13.27,31.96
3,2,23,133,19.83,34.75
3,3,0,56,12.41,32.86
3,3,1,43,15.5,34.98
3,3,2,15,28.48,40.27
3,3,3,12,14.15,49.75
3,3,4,7,19.92,45
3,3,5,86,9.19,33.69
3,3,6,281,14.08,37.58
3,3,7,755,11.97,38.17
3,3,8,1881,13.16,36.02
3,3,9,1337,14.36,34.42
3,3,10,530,23.65,34.66
3,3,11,519,18.32,34
3,3,12,570,18.38,36
3,3,13,514,29.87,36.48
3,3,14,497,19.19,36.32
3,3,15,643,15.74,37.61
3,3,16,1110,13.56,38.56
3,3,17,2080,15.94,37.22
3,3,18,1657,20.07,34.61
3,3,19,1047,12.84,32.99
3,3,20,602,12.23,33.01
3,3,21,452,11.73,33.02
3,3,22,291,13.53,31.95
3,3,23,135,12.27,32.04
3,4,0,59,395.04,34.2
3,4,1,45,17.47,34.91
3,4,2,25,16.93,34.4
3,4,3,4,31.92,37.25
3,4,4,13,16.17,37.62
3,4,5,69,8.99,33.58
3,4,6,262,10.3,37.94
3,4,7,823,11.42,37.85
3,4,8,1845,17.05,36.13
3,4,9,1390,17.68,34.86
3,4,10,640,17.46,35.52
3,4,11,528,13.88,35.13
3,4,12,606,13.39,36.39
3,4,13,591,17.55,36.48
3,4,14,544,15.75,35.97
3,4,15,654,27.23,37.67
3,4,16,1160,12.51,38.62
3,4,17,2172,21.58,37.27
3,4,18,1539,17.27,34.42
3,4,19,988,13.08,32.12
3,4,20,633,13.03,32.81
3,4,21,434,13.9,32.95
3,4,22,264,11.51,33.41
3,4,23,179,22.27,33.74
3,5,0,81,12.56,32.16
3,5,1,38,24.43,32.13
3,5,2,23,20.83,36.39
3,5,3,9,18.76,41.67
3,5,4,10,33.02,41.4
3,5,5,79,8.49,34.77
3,5,6,251,9.8,37.86
3,5,7,857,21.43,37.69
3,5,8,2020,17.35,36.26
3,5,9,1410,14.09,34.69
3,5,10,649,18.1,35.35
3,5,11,630,16.81,35.99
3,5,12,632,14.87,36.47
3,5,13,630,13.16,36.56
3,5,14,575,13.58,36.52
3,5,15,714,17.6,38.7
3,5,16,1307,21.47,38.72
3,5,17,2190,13.77,37.62
3,5,18,1696,17.4,34.92
3,5,19,1084,19.25,33.92
3,5,20,684,16.67,32.82
3,5,21,482,15.61,32.62
3,5,22,317,11.66,32.13
3,5,23,199,12.69,31.17
3,6,0,117,12.86,32.76
3,6,1,52,17.41,33.21
3,6,2,34,14.49,34.74
3,6,3,13,30.91,43.85
3,6,4,16,12.58,42.31
3,6,5,70,17.62,33.39
3,6,6,248,10.48,37.83
3,6,7,804,13.82,37.94
3,6,8,1864,15.31,35.66
3,6,9,1373,16.29,34.43
3,6,10,698,15.65,34.72
3,6,11,624,14.48,35.76
3,6,12,716,18.23,36.04
3,6,13,770,19.85,35.88
3,6,14,691,15.36,37.15
3,6,15,836,21.09,38
3,6,16,1419,14.06,37.63
3,6,17,2182,15.08,35.95
3,6,18,1614,17.24,34.13
3,6,19,968,15.32,33.1
3,6,20,636,31.75,32.38
3,6,21,473,18.79,32.91
3,6,22,358,24.73,33.18
3,6,23,254,83.78,32.81
3,7,0,164,19.5,34.09
3,7,1,142,19.14,34.01
3,7,2,92,19.17,34.21
3,7,3,49,35.91,36.61
3,7,4,29,35.76,43.17
3,7,5,27,21.44,39.33
3,7,6,60,171.78,36.05
3,7,7,133,49.3,33.54
3,7,8,275,13.38,34.61
3,7,9,452,24.46,33.65
3,7,10,676,20.53,34.97
3,7,11,820,31.78,34.76
3,7,12,995,22.4,34.85
3,7,13,1217,31.44,35.43
3,7,14,1195,26.94,35.22
3,7,15,1278,35.59,36.37
3,7,16,1444,28.98,37.25
3,7,17,1334,29.76,36.35
3,7,18,1129,27.96,34.84
3,7,19,826,27.44,34.12
3,7,20,567,22.15,32.92
